MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
2,65,4561.299415372632,5039,1428,3611,4461.299415372632,28.338956142091686
4,5,4559.770800000737,4762,1148,3614,4459.770800000737,24.107517849643006
66,12,4558.048833332501,2163,470,1693,4458.048833332501,21.729079981507166
75,25,4557.952199989376,1370,246,1124,4457.952199989376,17.956204379562042
69,24,4557.24104165175,1377,254,1123,4457.24104165175,18.445896877269426
97,50,4557.142359997697,730,132,598,4457.142359997697,18.08219178082192
88,50,4556.333739999489,759,131,628,4456.333739999489,17.25955204216074
74,13,4555.084538469936,2030,427,1603,4455.084538469936,21.03448275862069
74,1,4554.670000000113,2825,561,2264,4454.670000000113,19.858407079646017
10,69,4553.69704347491,2011,498,1513,4453.69704347491,24.763799104922924
86,55,4553.536909090532,717,110,607,4453.536909090532,15.341701534170154
30,13,4551.965307702188,2166,462,1704,4451.965307702188,21.329639889196674
25,5,4550.765599982217,4125,963,3162,4450.765599982217,23.345454545454544
39,14,4550.707928579651,1976,399,1577,4450.707928579651,20.192307692307693
69,12,4550.235666665482,2178,469,1709,4450.235666665482,21.53351698806244
80,13,4548.627230775014,2003,432,1571,4448.627230775014,21.567648527209187
9,94,4547.810691483175,2092,525,1567,4447.810691483175,25.095602294455066
9,91,4547.4713186773715,2090,523,1567,4447.4713186773715,25.023923444976077
6,98,4546.658785708193,2931,800,2131,4446.658785708193,27.294438758103034
37,23,4546.528913039361,1373,269,1104,4446.528913039361,19.592134013109977
20,61,4544.936901648633,1377,289,1088,4444.936901648633,20.98765432098765
79,26,4543.617807679353,1341,240,1101,4443.617807679353,17.89709172259508
71,19,4542.256157891663,1522,318,1204,4442.256157891663,20.893561103810775
22,88,4541.986715903754,1283,301,982,4441.986715903754,23.460639127045983
3,6,4540.5884999676655,5302,1327,3975,4440.5884999676655,25.028291210863824
43,25,4540.462960001927,1357,252,1105,4440.462960001927,18.570375829034635
26,12,4540.2643333363,2355,505,1850,4440.2643333363,21.443736730360936
80,1,4539.314000000112,2800,558,2242,4439.314000000112,19.92857142857143
